gene	gc
ENSG00000186092.7	35.94
ENSG00000284733.2	46.01
ENSG00000284662.1	45.73
ENSG00000187634.13	70.71
ENSG00000188976.11	58.27
ENSG00000187961.14	64.96
ENSG00000187583.11	64.82
ENSG00000187642.9	65.54
ENSG00000188290.11	73.79
ENSG00000187608.10	63.44
ENSG00000188157.15	65.78
ENSG00000237330.3	65.58
ENSG00000131591.18	65.37
ENSG00000162571.14	63.66
ENSG00000186891.14	67.98
ENSG00000186827.11	69.80
ENSG00000078808.19	63.55
ENSG00000176022.7	64.21
ENSG00000184163.3	69.96
ENSG00000160087.21	58.35
ENSG00000162572.21	64.57
ENSG00000131584.19	66.35
ENSG00000169972.12	65.35
ENSG00000127054.21	60.67
ENSG00000224051.7	66.69
ENSG00000169962.5	65.93
ENSG00000107404.20	67.39
ENSG00000162576.17	67.20
ENSG00000175756.13	67.35
ENSG00000221978.12	52.22
ENSG00000242485.6	54.64
ENSG00000235098.9	65.70
ENSG00000205116.4	58.97
ENSG00000179403.12	66.83
ENSG00000215915.10	56.54
ENSG00000160072.20	61.29
ENSG00000197785.14	65.79
ENSG00000205090.9	69.24
ENSG00000160075.12	55.67
ENSG00000228594.4	70.72
ENSG00000197530.13	66.61
ENSG00000189409.14	70.16
ENSG00000248333.9	55.93
ENSG00000189339.12	54.79
ENSG00000008128.23	56.26
ENSG00000008130.15	59.12
ENSG00000078369.18	50.74
ENSG00000169885.10	62.30
ENSG00000178821.13	67.50
ENSG00000142609.19	58.66
ENSG00000187730.9	62.37
ENSG00000067606.17	59.51
ENSG00000162585.17	60.37
ENSG00000157933.10	61.48
ENSG00000116151.14	58.38
ENSG00000157916.20	53.58
ENSG00000157911.11	59.41
ENSG00000149527.18	65.82
ENSG00000157881.16	60.65
ENSG00000197921.6	66.47
ENSG00000157873.18	63.58
ENSG00000157870.17	62.65
ENSG00000142606.16	61.32
ENSG00000215912.12	61.87
ENSG00000169717.7	61.66
ENSG00000142611.17	56.99
ENSG00000130762.15	63.04
ENSG00000162591.16	64.18
